indicator,API_UserName,obs_date,OpDiv,observations,curr_date
89.187.187.69,64853912235916233429,2025-01-09,OS,6,2025-01-09
118.193.72.187,64853912235916233429,2025-01-10,OS,3351,2025-01-10
119.200.13.201,64853912235916233429,2025-01-10,OS,309,2025-01-10
146.70.45.166,64853912235916233429,2025-01-10,OS,4,2025-01-10
146.71.50.198,64853912235916233429,2025-01-10,OS,6345,2025-01-10
147.45.112.17,64853912235916233429,2025-01-10,OS,3,2025-01-10
147.45.76.186,64853912235916233429,2025-01-10,OS,10,2025-01-10
152.32.128.214,64853912235916233429,2025-01-10,OS,768,2025-01-10
162.142.125.242,64853912235916233429,2025-01-10,OS,41999,2025-01-10
162.142.125.255,64853912235916233429,2025-01-10,OS,42179,2025-01-10
183.215.194.158,64853912235916233429,2025-01-10,OS,42,2025-01-10
185.241.208.204,64853912235916233429,2025-01-10,OS,17,2025-01-10
193.32.162.79,64853912235916233429,2025-01-10,OS,1647,2025-01-10
207.244.71.84,64853912235916233429,2025-01-10,OS,16,2025-01-10
207.244.89.162,64853912235916233429,2025-01-10,OS,14,2025-01-10
208.87.233.190,64853912235916233429,2025-01-10,OS,18,2025-01-10
221.222.184.230,64853912235916233429,2025-01-10,OS,1257,2025-01-10
23.106.56.38,64853912235916233429,2025-01-10,OS,6,2025-01-10
37.139.145.57,64853912235916233429,2025-01-10,OS,163,2025-01-10
61.153.184.151,64853912235916233429,2025-01-10,OS,204,2025-01-10
75.127.12.162,64853912235916233429,2025-01-10,OS,1,2025-01-10
80.66.83.46,64853912235916233429,2025-01-10,OS,1273,2025-01-10
80.66.83.49,64853912235916233429,2025-01-10,OS,7834,2025-01-10
89.187.187.69,64853912235916233429,2025-01-10,OS,2,2025-01-10
107.189.30.69,64853912235916233429,2025-01-11,OS,3,2025-01-11
118.193.72.187,64853912235916233429,2025-01-11,OS,3706,2025-01-11
119.200.13.201,64853912235916233429,2025-01-11,OS,295,2025-01-11
146.70.45.166,64853912235916233429,2025-01-11,OS,4,2025-01-11
146.71.50.198,64853912235916233429,2025-01-11,OS,7225,2025-01-11
147.45.112.17,64853912235916233429,2025-01-11,OS,2,2025-01-11
147.45.76.186,64853912235916233429,2025-01-11,OS,9,2025-01-11
152.32.128.214,64853912235916233429,2025-01-11,OS,807,2025-01-11
162.142.125.242,64853912235916233429,2025-01-11,OS,43175,2025-01-11
162.142.125.255,64853912235916233429,2025-01-11,OS,42938,2025-01-11
171.25.193.78,64853912235916233429,2025-01-11,OS,13,2025-01-11
183.215.194.158,64853912235916233429,2025-01-11,OS,52,2025-01-11
185.129.62.62,64853912235916233429,2025-01-11,OS,1,2025-01-11
192.42.116.192,64853912235916233429,2025-01-11,OS,26,2025-01-11
193.32.162.79,64853912235916233429,2025-01-11,OS,2850,2025-01-11
207.244.71.82,64853912235916233429,2025-01-11,OS,10,2025-01-11
207.244.89.161,64853912235916233429,2025-01-11,OS,6,2025-01-11
208.87.233.190,64853912235916233429,2025-01-11,OS,18,2025-01-11
221.222.184.230,64853912235916233429,2025-01-11,OS,1280,2025-01-11
37.139.145.57,64853912235916233429,2025-01-11,OS,177,2025-01-11
61.153.184.151,64853912235916233429,2025-01-11,OS,224,2025-01-11
80.66.83.46,64853912235916233429,2025-01-11,OS,1694,2025-01-11
80.66.83.49,64853912235916233429,2025-01-11,OS,6120,2025-01-11
118.193.72.187,64853912235916233429,2025-01-12,OS,1649,2025-01-12
119.200.13.201,64853912235916233429,2025-01-12,OS,330,2025-01-12
146.70.192.174,64853912235916233429,2025-01-12,OS,4,2025-01-12
146.70.45.166,64853912235916233429,2025-01-12,OS,2,2025-01-12
146.71.50.198,64853912235916233429,2025-01-12,OS,8029,2025-01-12
147.45.76.186,64853912235916233429,2025-01-12,OS,7,2025-01-12
152.32.128.214,64853912235916233429,2025-01-12,OS,850,2025-01-12
162.142.125.242,64853912235916233429,2025-01-12,OS,45083,2025-01-12
162.142.125.255,64853912235916233429,2025-01-12,OS,45131,2025-01-12
171.25.193.78,64853912235916233429,2025-01-12,OS,33,2025-01-12
183.215.194.158,64853912235916233429,2025-01-12,OS,41,2025-01-12
185.220.100.240,64853912235916233429,2025-01-12,OS,5,2025-01-12
185.241.208.204,64853912235916233429,2025-01-12,OS,9,2025-01-12
192.42.116.192,64853912235916233429,2025-01-12,OS,26,2025-01-12
193.32.162.79,64853912235916233429,2025-01-12,OS,2476,2025-01-12
207.244.71.84,64853912235916233429,2025-01-12,OS,8,2025-01-12
