indicator,API_UserName,obs_date,OpDiv,observations,curr_date
3.213.237.181,35664937356778434955,2025-01-27,HRSA,86,2025-01-27
61.153.184.151,35664937356778434955,2025-01-27,HRSA,148,2025-01-27
61.55.69.7,35664937356778434955,2025-01-27,HRSA,449,2025-01-27
8.222.137.97,35664937356778434955,2025-01-27,HRSA,1695,2025-01-27
80.66.83.46,35664937356778434955,2025-01-27,HRSA,109032,2025-01-27
80.66.83.49,35664937356778434955,2025-01-27,HRSA,98726,2025-01-27
87.236.176.51,35664937356778434955,2025-01-27,HRSA,3,2025-01-27
91.191.209.46,35664937356778434955,2025-01-27,HRSA,418,2025-01-27
i.postimg.cc,35664937356778434955,2025-01-27,HRSA,15,2025-01-27
106.12.204.212,35664937356778434955,2025-01-28,HRSA,224,2025-01-28
111.67.194.254,35664937356778434955,2025-01-28,HRSA,419,2025-01-28
111.67.194.39,35664937356778434955,2025-01-28,HRSA,381,2025-01-28
118.193.72.187,35664937356778434955,2025-01-28,HRSA,1280,2025-01-28
119.200.13.201,35664937356778434955,2025-01-28,HRSA,175,2025-01-28
14.103.127.80,35664937356778434955,2025-01-28,HRSA,125,2025-01-28
146.71.50.198,35664937356778434955,2025-01-28,HRSA,5137,2025-01-28
147.45.76.186,35664937356778434955,2025-01-28,HRSA,4,2025-01-28
152.32.128.214,35664937356778434955,2025-01-28,HRSA,585,2025-01-28
162.142.125.242,35664937356778434955,2025-01-28,HRSA,22560,2025-01-28
162.142.125.255,35664937356778434955,2025-01-28,HRSA,22563,2025-01-28
171.25.193.20,35664937356778434955,2025-01-28,HRSA,7,2025-01-28
180.76.51.64,35664937356778434955,2025-01-28,HRSA,174,2025-01-28
183.215.194.158,35664937356778434955,2025-01-28,HRSA,16,2025-01-28
183.224.237.233,35664937356778434955,2025-01-28,HRSA,86,2025-01-28
185.230.63.171,35664937356778434955,2025-01-28,HRSA,22,2025-01-28
192.42.116.192,35664937356778434955,2025-01-28,HRSA,3,2025-01-28
193.32.126.233,35664937356778434955,2025-01-28,HRSA,1,2025-01-28
193.32.162.79,35664937356778434955,2025-01-28,HRSA,1326,2025-01-28
203.239.31.150,35664937356778434955,2025-01-28,HRSA,42,2025-01-28
205.185.117.73,35664937356778434955,2025-01-28,HRSA,12,2025-01-28
207.244.71.82,35664937356778434955,2025-01-28,HRSA,18,2025-01-28
217.170.194.54,35664937356778434955,2025-01-28,HRSA,36,2025-01-28
221.222.184.230,35664937356778434955,2025-01-28,HRSA,80,2025-01-28
23.205.105.180,35664937356778434955,2025-01-28,HRSA,184,2025-01-28
61.153.184.151,35664937356778434955,2025-01-28,HRSA,195,2025-01-28
61.55.69.7,35664937356778434955,2025-01-28,HRSA,164,2025-01-28
67.201.33.10,35664937356778434955,2025-01-28,HRSA,15,2025-01-28
8.222.137.97,35664937356778434955,2025-01-28,HRSA,1840,2025-01-28
80.66.83.46,35664937356778434955,2025-01-28,HRSA,88125,2025-01-28
80.66.83.49,35664937356778434955,2025-01-28,HRSA,96890,2025-01-28
91.191.209.46,35664937356778434955,2025-01-28,HRSA,252,2025-01-28
links.rasa.io,35664937356778434955,2025-01-28,HRSA,5,2025-01-28
106.12.204.212,35664937356778434955,2025-01-29,HRSA,234,2025-01-29
111.67.194.254,35664937356778434955,2025-01-29,HRSA,406,2025-01-29
111.67.194.39,35664937356778434955,2025-01-29,HRSA,428,2025-01-29
118.193.72.187,35664937356778434955,2025-01-29,HRSA,512,2025-01-29
119.200.13.201,35664937356778434955,2025-01-29,HRSA,126,2025-01-29
14.103.127.80,35664937356778434955,2025-01-29,HRSA,109,2025-01-29
146.71.50.198,35664937356778434955,2025-01-29,HRSA,4098,2025-01-29
152.32.128.214,35664937356778434955,2025-01-29,HRSA,574,2025-01-29
